danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,added_at,albumid,artists,genre,imagehref,trackName
0.688,0.489,11,-8.427,1,0.0461,0.251,0.000165,0.0606,0.563,91.018,audio_features,4LSX4jRmzVwMA1KzQO1Wqy,spotify:track:4LSX4jRmzVwMA1KzQO1Wqy,https://api.spotify.com/v1/tracks/4LSX4jRmzVwMA1KzQO1Wqy,https://api.spotify.com/v1/audio-analysis/4LSX4jRmzVwMA1KzQO1Wqy,301558,4,2019-12-07T03:46:18Z,571Mh6oowokeW1RIfqCmaz,宇宙人,chinese indie,https://i.scdn.co/image/ab67616d0000b273067801fbe5eb4a463da4da1a,一萬小時
0.615,0.386,3,-9.799,1,0.0312,0.825,0.00000446,0.115,0.148,129.925,audio_features,03UChw9aTMMe4VtF2rSEXe,spotify:track:03UChw9aTMMe4VtF2rSEXe,https://api.spotify.com/v1/tracks/03UChw9aTMMe4VtF2rSEXe,https://api.spotify.com/v1/audio-analysis/03UChw9aTMMe4VtF2rSEXe,247133,4,2019-12-06T20:56:06Z,1ReLs42i1FgChCUqurgmhc,郁可唯,mainland chinese pop,https://i.scdn.co/image/ab67616d0000b273414fe42a0618f13cb91f64c3,路過人間
0.579,0.356,3,-11.312,1,0.026,0.281,0.0000122,0.183,0.24,140.02,audio_features,69bdhBcI3aTFA8KhooWBI3,spotify:track:69bdhBcI3aTFA8KhooWBI3,https://api.spotify.com/v1/tracks/69bdhBcI3aTFA8KhooWBI3,https://api.spotify.com/v1/audio-analysis/69bdhBcI3aTFA8KhooWBI3,294160,4,2019-12-06T20:40:50Z,2X2WYTQl5BVInM0StQChCy,張懸,chinese indie,https://i.scdn.co/image/ab67616d0000b273fb1a91435f3075d2f4e4943e,關於我愛你
0.587,0.724,6,-6.776,1,0.0321,0.614,0.000166,0.155,0.837,106.993,audio_features,2YEnGQwfXZokCfRbTykYbo,spotify:track:2YEnGQwfXZokCfRbTykYbo,https://api.spotify.com/v1/tracks/2YEnGQwfXZokCfRbTykYbo,https://api.spotify.com/v1/audio-analysis/2YEnGQwfXZokCfRbTykYbo,222353,4,2019-12-06T01:52:48Z,038iHedcafxMeEWtzsrvye,MyKey,bedroom pop,https://i.scdn.co/image/ab67616d0000b273763677677b83f076335097d0,Was It Something I Said
0.356,0.685,4,-9.649,0,0.164,0.766,0.566,0.173,0.509,94.836,audio_features,3EBJugb9aOphMHcBJPGKZb,spotify:track:3EBJugb9aOphMHcBJPGKZb,https://api.spotify.com/v1/tracks/3EBJugb9aOphMHcBJPGKZb,https://api.spotify.com/v1/audio-analysis/3EBJugb9aOphMHcBJPGKZb,174316,4,2019-12-05T06:51:45Z,6401Q2hUSEoTYgaRPt8sZs,Fedo,undefined,https://i.scdn.co/image/ab67616d0000b2732e241a95049aba86db39912a,Via A71
0.69,0.721,4,-8.437,1,0.0322,0.321,0.649,0.125,0.356,104.028,audio_features,4qCfbDTCrFnfG5fYngu2wE,spotify:track:4qCfbDTCrFnfG5fYngu2wE,https://api.spotify.com/v1/tracks/4qCfbDTCrFnfG5fYngu2wE,https://api.spotify.com/v1/audio-analysis/4qCfbDTCrFnfG5fYngu2wE,268120,4,2019-12-05T05:53:25Z,74hkehs2cahKJ7jFLOrxYh,Barrie,brooklyn indie,https://i.scdn.co/image/ab67616d0000b27345927d8f1d3dd0dc05c63b6d,Geology
0.861,0.515,0,-11.41,0,0.169,0.814,0.000138,0.103,0.689,120.038,audio_features,7stcGiG3ssPOHa7WZK7flD,spotify:track:7stcGiG3ssPOHa7WZK7flD,https://api.spotify.com/v1/tracks/7stcGiG3ssPOHa7WZK7flD,https://api.spotify.com/v1/audio-analysis/7stcGiG3ssPOHa7WZK7flD,192000,4,2019-12-01T06:06:19Z,4OY86d4jBbtYxj2Yf6IhRo,okaywill,undefined,https://i.scdn.co/image/ab67616d0000b2739c563063f8b71c4d358fc83a,Emotional
0.511,0.622,2,-5.727,1,0.0242,0.0108,0.00000451,0.127,0.425,99.934,audio_features,0DRvClQbN9znQ295sx76VC,spotify:track:0DRvClQbN9znQ295sx76VC,https://api.spotify.com/v1/tracks/0DRvClQbN9znQ295sx76VC,https://api.spotify.com/v1/audio-analysis/0DRvClQbN9znQ295sx76VC,196027,4,2019-11-26T04:53:02Z,7CCwkPweMxKq8yWkVerH6T,Alvvays,art pop,https://i.scdn.co/image/ab67616d0000b273ad8f67f5f03d44e215deea50,Dreams Tonite
0.727,0.328,6,-9.793,1,0.0286,0.576,0.54,0.0719,0.239,76.415,audio_features,0SCtV9YQhnsY0m277xlmxg,spotify:track:0SCtV9YQhnsY0m277xlmxg,https://api.spotify.com/v1/tracks/0SCtV9YQhnsY0m277xlmxg,https://api.spotify.com/v1/audio-analysis/0SCtV9YQhnsY0m277xlmxg,213056,4,2019-11-26T00:50:49Z,65AieGRQ5nDKMU67c595Sx,Yowler,small room,https://i.scdn.co/image/ab67616d0000b273a518528c4d08e5d8f35548bf,Go
0.674,0.615,0,-8.188,1,0.147,0.455,0.00091,0.208,0.756,85.048,audio_features,03ZkvqZOANKndGXfAAPywG,spotify:track:03ZkvqZOANKndGXfAAPywG,https://api.spotify.com/v1/tracks/03ZkvqZOANKndGXfAAPywG,https://api.spotify.com/v1/audio-analysis/03ZkvqZOANKndGXfAAPywG,234056,4,2019-11-25T04:29:56Z,6Az1XhIF7MTkO0kr5fRJOd,Cuco,dream pop,https://i.scdn.co/image/ab67616d0000b273cb461f74ecc3cd02f81dfed3,Drown
0.565,0.438,7,-8.722,1,0.0311,0.122,0.0469,0.108,0.211,133.949,audio_features,5OuJTtNve7FxUX82eEBupN,spotify:track:5OuJTtNve7FxUX82eEBupN,https://api.spotify.com/v1/tracks/5OuJTtNve7FxUX82eEBupN,https://api.spotify.com/v1/audio-analysis/5OuJTtNve7FxUX82eEBupN,361760,4,2019-11-25T01:25:11Z,6xduu32sm4aidoLhaxYkUA,Peach Pit,indie garage rock,https://i.scdn.co/image/ab67616d0000b27300b39b4a73d28536690b355c,Tommy's Party
0.592,0.559,4,-6.298,0,0.0308,0.383,0.0925,0.337,0.121,97.998,audio_features,0jQlU4iPRzcwthBTRqXBzh,spotify:track:0jQlU4iPRzcwthBTRqXBzh,https://api.spotify.com/v1/tracks/0jQlU4iPRzcwthBTRqXBzh,https://api.spotify.com/v1/audio-analysis/0jQlU4iPRzcwthBTRqXBzh,202547,4,2019-11-25T01:19:50Z,0oMhYinwZJoBFWmyegpo45,wwoman,bedroom pop,https://i.scdn.co/image/ab67616d0000b273ce741cd9e126b5bb05a9adab,You Will Fill My Head
0.439,0.648,0,-9.011,1,0.131,0.2,0,0.133,0.215,116.994,audio_features,49EnzCTLFejy28A7qcEG6f,spotify:track:49EnzCTLFejy28A7qcEG6f,https://api.spotify.com/v1/tracks/49EnzCTLFejy28A7qcEG6f,https://api.spotify.com/v1/audio-analysis/49EnzCTLFejy28A7qcEG6f,165269,5,2019-11-21T21:28:21Z,6FcqWOgtEQid0IjiTjKEnJ,Thutmose,trap soul,https://i.scdn.co/image/f7b5d27971fa5f6b23e82305e095b1d97b898838,Ambience
0.598,0.584,9,-10.079,1,0.0533,0.119,0.000427,0.121,0.188,145.937,audio_features,62crJjeje0T8g5N3Tuq00V,spotify:track:62crJjeje0T8g5N3Tuq00V,https://api.spotify.com/v1/tracks/62crJjeje0T8g5N3Tuq00V,https://api.spotify.com/v1/audio-analysis/62crJjeje0T8g5N3Tuq00V,213699,4,2019-11-21T21:26:05Z,212oZ9syaxiAX6jcGUfF6w,NoMBe,electropop,https://i.scdn.co/image/ab67616d0000b273355f6f8b80b605cee570a5c7,Summer's Gone
0.416,0.452,5,-11.233,0,0.0589,0.936,0.514,0.257,0.247,73.605,audio_features,6NrwVoFmjeNsEtrgZTMo4T,spotify:track:6NrwVoFmjeNsEtrgZTMo4T,https://api.spotify.com/v1/tracks/6NrwVoFmjeNsEtrgZTMo4T,https://api.spotify.com/v1/audio-analysis/6NrwVoFmjeNsEtrgZTMo4T,213497,4,2019-11-21T20:43:31Z,5VTDwmPmnnDecdsd374oye,MOSSS,undefined,https://i.scdn.co/image/e51f2ef17db7b48d89b599dabf120a39daa65bb6,IDK
0.863,0.533,5,-7.986,0,0.0484,0.291,0.00126,0.0794,0.738,102.025,audio_features,66tkDkPsznE5zIHNt4QkXB,spotify:track:66tkDkPsznE5zIHNt4QkXB,https://api.spotify.com/v1/tracks/66tkDkPsznE5zIHNt4QkXB,https://api.spotify.com/v1/audio-analysis/66tkDkPsznE5zIHNt4QkXB,249957,4,2019-11-20T17:48:11Z,5v7PsESglCFeVcb7wNEWIW,Parcels,aussietronica,https://i.scdn.co/image/ab67616d0000b2735293681f1d72c22430e382e0,Tieduprightnow
0.626,0.323,4,-9.607,1,0.0339,0.667,0,0.0605,0.234,130.086,audio_features,7mLIL4OdNdwFcGNlTcWa0c,spotify:track:7mLIL4OdNdwFcGNlTcWa0c,https://api.spotify.com/v1/tracks/7mLIL4OdNdwFcGNlTcWa0c,https://api.spotify.com/v1/audio-analysis/7mLIL4OdNdwFcGNlTcWa0c,277327,4,2019-11-20T17:47:46Z,4DIujoqFXrPFtxPts7PlWz,Cavetown,bedroom pop,https://i.scdn.co/image/ab67616d0000b273f46158e9a318f6acdb648bd1,Talk to Me
0.683,0.319,0,-12.036,1,0.027,0.309,0.00000471,0.12,0.067,133.977,audio_features,7aOTOlFvMtU3GUWGUhfNSB,spotify:track:7aOTOlFvMtU3GUWGUhfNSB,https://api.spotify.com/v1/tracks/7aOTOlFvMtU3GUWGUhfNSB,https://api.spotify.com/v1/audio-analysis/7aOTOlFvMtU3GUWGUhfNSB,198806,4,2019-11-19T22:57:42Z,3EHlu8ztF7eHRpEohKqOse,Johnny Goth,indie garage rock,https://i.scdn.co/image/ab67616d0000b273d865bf034c67e8a48f5b7d29,You Are the Reason
